"name";"Ticker";"cmp";"Sharpe Ratio";"Matrix Decision";"Stock Outperform";"Quaterly Growth";"sector";"Trading View Rec";"FinViz Rec";"Sell Action";"Buy Action";"Sentiment";"RSI Indicator";"sorting_score"
"Applied Materials Inc.";"AMAT";"66.4";"1.47";"Strong";"Yes";"Inconsistent";"Information Technology";"Strong Buy";"Buy";"Wait";"None";"Not Available";"None";"1.46"
"ANSYS";"ANSS";"294.02";"1.99";"Strong";"Yes";"Inconsistent";"Information Technology";"Buy";"Buy";"Sell";"None";"Not Available";"Overbought";"1.00"
"SBA Communications";"SBAC";"292.13";"1.79";"Strong";"Yes";"Inconsistent";"Real Estate";"Buy";"Buy";"Sell";"None";"Not Available";"Overbought";"0.79"
"Nvidia Corporation";"NVDA";"308.7";"1.79";"Strong";"Yes";"Inconsistent";"Information Technology";"Buy";"Buy";"Sell";"Wait";"Bullish";"Overbought";"0.79"
"Target Corp.";"TGT";"118.26";"1.35";"Strong";"Yes";"Inconsistent";"Consumer Discretionary";"Buy";"Buy";"Sell";"None";"Not Available";"Overbought";"0.33"
"American Tower Corp A";"AMT";"247.54";"1.34";"Strong";"Yes";"Inconsistent";"Real Estate";"Buy";"Buy";"Wait";"None";"Not Available";"None";"0.33"
"Crown Castle International Corp.";"CCI";"166.99";"1.34";"Strong";"Yes";"Inconsistent";"Real Estate";"Buy";"Buy";"Wait";"None";"Not Available";"Overbought";"0.33"
"Dollar General";"DG";"165.73";"1.22";"Strong";"Yes";"Inconsistent";"Consumer Discretionary";"Buy";"Buy";"Sell";"None";"Bearish";"Overbought";"0.20"
"Duke Realty Corp";"DRE";"38.67";"1.14";"Strong";"Yes";"Inconsistent";"Real Estate";"Buy";"Buy";"Wait";"None";"Not Available";"Overbought";"0.12"
"Newmont Mining Corporation";"NEM";"48.1";"1.03";"Strong";"Yes";"Inconsistent";"Materials";"Buy";"Buy";"Wait";"Wait";"Bullish";"Overbought";"0"