,Reporter,Year,Period,Aggregate Level,Is Leaf Code,Trade Flow Code,Reporter Code,Reporter ISO,Partner Code,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
0,Angola,18171,1817145,18,0,9,216,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154161263,0.0,0.0,0
1,Antigua and Barbuda,18171,1817145,18,0,9,252,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6345669,0.0,0.0,0
2,Argentina,18171,1817145,18,0,9,288,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552488760,0.0,0.0,0
3,Armenia,18171,1817145,18,0,9,459,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71768841,0.0,0.0,0
4,Aruba,6057,605706,6,0,3,1599,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595109,0.0,0.0,0
5,Australia,18171,1817145,18,0,9,324,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597040799,0.0,0.0,0
6,Azerbaijan,18171,1817145,18,0,9,279,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284711807,0.0,0.0,0
7,Barbados,10095,1009516,10,0,5,260,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3660297,0.0,0.0,0
8,Belarus,18171,1817145,18,0,9,1008,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287766000,0.0,0.0,0
9,Belgium,18171,1817145,18,0,9,504,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9515198865,0.0,0.0,0
10,Belize,18171,1817145,18,0,9,756,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17405130,0.0,0.0,0
11,Benin,18171,1817145,18,0,9,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68815785,0.0,0.0,0
12,Bolivia,6057,605706,6,0,3,204,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139777602,0.0,0.0,0
13,Bosnia Herzegovina,18171,1817145,18,0,9,630,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272598128,0.0,0.0,0
14,Botswana,18171,1817145,18,0,9,648,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52513555,0.0,0.0,0
15,Brazil,18171,1817145,18,0,9,684,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722785744,0.0,0.0,0
16,Bulgaria,18171,1817145,18,0,9,900,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048957911,0.0,0.0,0
17,Cabo Verde,4038,403803,4,0,2,264,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512332,0.0,0.0,0
18,Canada,18171,1817145,18,0,9,1116,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4884150613,0.0,0.0,0
19,Chile,18171,1817145,18,0,9,1368,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162531745,0.0,0.0,0
20,"China, Hong Kong SAR",18171,1817145,18,0,9,3096,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297685937,0.0,0.0,0
21,"China, Macao SAR",18171,1817145,18,0,9,4014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71478974,0.0,0.0,0
22,Colombia,18171,1817145,18,0,9,1530,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261095918,0.0,0.0,0
23,Comoros,18171,1817145,18,0,9,1566,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9239748,0.0,0.0,0
24,Congo,18171,1817145,18,0,9,1602,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9682529,0.0,0.0,0
25,Croatia,18171,1817145,18,0,9,1719,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503288287,0.0,0.0,0
26,Cyprus,18171,1817145,18,0,9,1764,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137019683,0.0,0.0,0
27,Czech Rep.,18171,1817145,18,0,9,1827,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4680344752,0.0,0.0,0
28,C̫te d'Ivoire,18171,1817145,18,0,9,3456,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190430278,0.0,0.0,0
29,Denmark,18171,1817145,18,0,9,1872,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603178620,0.0,0.0,0
30,EU-28,18171,1817145,18,0,9,873,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27653598429,0.0,0.0,0
31,Ecuador,18171,1817145,18,0,9,1962,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524684918,0.0,0.0,0
32,Egypt,18171,1817145,18,0,9,7362,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2908241172,0.0,0.0,0
33,El Salvador,18171,1817145,18,0,9,1998,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294405333,0.0,0.0,0
34,Estonia,18171,1817145,18,0,9,2097,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483498111,0.0,0.0,0
35,Finland,18171,1817145,18,0,9,2214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916483111,0.0,0.0,0
36,Gambia,18171,1817145,18,0,9,2430,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8756103,0.0,0.0,0
37,Georgia,18171,1817145,18,0,9,2412,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130359423,0.0,0.0,0
38,Germany,18171,1817145,18,0,9,2484,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21771405287,0.0,0.0,0
39,Ghana,18171,1817145,18,0,9,2592,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271512633,0.0,0.0,0
40,Greece,18171,1817145,18,0,9,2700,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957019288,0.0,0.0,0
41,Guatemala,18171,1817145,18,0,9,2880,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532914019,0.0,0.0,0
42,Guyana,10095,1009515,10,0,5,1640,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20262881,0.0,0.0,0
43,Hungary,18171,1817145,18,0,9,3132,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957406559,0.0,0.0,0
44,Iceland,18171,1817145,18,0,9,3168,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42018017,0.0,0.0,0
45,India,18171,1817145,18,0,9,6291,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462893580,0.0,0.0,0
46,Ireland,18171,1817145,18,0,9,3348,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599377970,0.0,0.0,0
47,Israel,18171,1817145,18,0,9,3384,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190212000,0.0,0.0,0
48,Italy,18171,1817145,18,0,9,3429,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15349223884,0.0,0.0,0
49,Japan,18171,1817145,18,0,9,3528,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5902213090,0.0,0.0,0
50,Kazakhstan,18171,1817145,18,0,9,3582,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923880239,0.0,0.0,0
51,Kenya,4038,403803,4,0,2,808,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155296813,0.0,0.0,0
52,Kyrgyzstan,16152,1615236,16,0,8,3336,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127770035,0.0,0.0,0
53,Lao People's Dem. Rep.,18171,1817145,18,0,9,3762,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203656341,0.0,0.0,0
54,Latvia,18171,1817145,18,0,9,3852,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519170145,0.0,0.0,0
55,Lithuania,18171,1817145,18,0,9,3960,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607566380,0.0,0.0,0
56,Luxembourg,12114,1211430,12,0,6,2652,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701445948,0.0,0.0,0
57,Madagascar,18171,1817145,18,0,9,4050,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72367946,0.0,0.0,0
58,Malaysia,2019,201901,2,0,1,458,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608310153,0.0,0.0,0
59,Malta,18171,1817145,18,0,9,4230,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27076086,0.0,0.0,0
60,Mauritius,18171,1817145,18,0,9,4320,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67248818,0.0,0.0,0
61,Mexico,18171,1817145,18,0,9,4356,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8461037055,0.0,0.0,0
62,Mongolia,18171,1817145,18,0,9,4464,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171677696,0.0,0.0,0
63,Montenegro,16152,1615236,16,0,8,3992,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48937139,0.0,0.0,0
64,Morocco,18171,1817145,18,0,9,4536,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127267066,0.0,0.0,0
65,New Zealand,18171,1817145,18,0,9,4986,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266215317,0.0,0.0,0
66,Norway,18171,1817145,18,0,9,5211,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668758712,0.0,0.0,0
67,Pakistan,18171,1817145,18,0,9,5274,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2346122000,0.0,0.0,0
68,Palau,6057,605706,6,0,3,1755,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869707,0.0,0.0,0
69,Paraguay,18171,1817145,18,0,9,5400,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190560124,0.0,0.0,0
70,Peru,18171,1817145,18,0,9,5436,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150318106,0.0,0.0,0
71,Philippines,16152,1615239,16,0,8,4864,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769941750,0.0,0.0,0
72,Poland,18171,1817145,18,0,9,5544,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7181601817,0.0,0.0,0
73,Portugal,18171,1817145,18,0,9,5580,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2163572190,0.0,0.0,0
74,Qatar,18171,1817145,18,0,9,5706,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290446681,0.0,0.0,0
75,Rep. of Korea,18171,1817145,18,0,9,3690,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12134247134,0.0,0.0,0
76,Rep. of Moldova,18171,1817145,18,0,9,4482,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78037143,0.0,0.0,0
77,Romania,18171,1817145,18,0,9,5778,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420108016,0.0,0.0,0
78,Russian Federation,18171,1817145,18,0,9,5787,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900255064,0.0,0.0,0
79,Rwanda,18171,1817145,18,0,9,5814,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77951945,0.0,0.0,0
80,Sao Tome and Principe,18171,1817145,18,0,9,6102,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677676,0.0,0.0,0
81,Senegal,18171,1817145,18,0,9,6174,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241249332,0.0,0.0,0
82,Serbia,18171,1817145,18,0,9,6192,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495452014,0.0,0.0,0
83,Seychelles,18171,1817145,18,0,9,6210,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17805718,0.0,0.0,0
84,Singapore,18171,1817145,18,0,9,6318,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971765821,0.0,0.0,0
85,Slovakia,18171,1817145,18,0,9,6327,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021668249,0.0,0.0,0
86,Slovenia,18171,1817145,18,0,9,6345,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191366031,0.0,0.0,0
87,South Africa,18171,1817145,18,0,9,6390,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896847522,0.0,0.0,0
88,Spain,18171,1817145,18,0,9,6516,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7559902098,0.0,0.0,0
89,Swaziland,18171,1817145,18,0,9,6732,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19605157,0.0,0.0,0
90,Sweden,18171,1817145,18,0,9,6768,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3468605602,0.0,0.0,0
91,Switzerland,18171,1817145,18,0,9,6813,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933665703,0.0,0.0,0
92,TFYR of Macedonia,18171,1817145,18,0,9,7263,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386638862,0.0,0.0,0
93,Thailand,4038,403803,4,0,2,1528,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020455310,0.0,0.0,0
94,Togo,18171,1817145,18,0,9,6912,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66610977,0.0,0.0,0
95,Turkey,18171,1817145,18,0,9,7128,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11402705681,0.0,0.0,0
96,Uganda,6057,605706,6,0,3,2400,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83307687,0.0,0.0,0
97,Ukraine,12114,1211430,12,0,6,4824,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633563965,0.0,0.0,0
98,United Kingdom,18171,1817145,18,0,9,7434,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4673316997,0.0,0.0,0
99,United States of America,18171,1817145,18,0,9,7578,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19673067448,0.0,0.0,0
100,Uruguay,2019,201901,2,0,1,858,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8375801,0.0,0.0,0
101,Yemen,18171,1817145,18,0,9,7983,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140250304,0.0,0.0,0
102,Zambia,18171,1817145,18,0,9,8046,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144546414,0.0,0.0,0
103,Zimbabwe,18171,1817145,18,0,9,6444,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82117091,0.0,0.0,0
