DATE,TradeValue
2001-01-31,144041
2001-02-28,37809
2001-03-31,129111
2001-04-30,46822
2001-05-31,53382
2001-06-30,138951
2001-07-31,94459
2001-08-31,127164
2001-09-30,50662
2001-10-31,101715
2001-11-30,107471
2001-12-31,6235
2002-01-31,21286
2002-02-28,82353
2002-03-31,15915
2002-04-30,92972
2002-05-31,7805
2002-06-30,56180
2002-07-31,217864
2002-08-31,29519
2002-09-30,70029
2002-10-31,173740
2002-11-30,31042
2002-12-31,39476
2003-01-31,78944
2003-02-28,104361
2003-03-31,31889
2003-04-30,131277
2003-05-31,233844
2003-06-30,68209
2003-07-31,87907
2003-08-31,56084
2003-09-30,27754
2003-10-31,358852
2003-11-30,23285
2003-12-31,71629
2004-01-31,219299
2004-02-29,73743
2004-03-31,133416
2004-04-30,656283
2004-05-31,724264
2004-06-30,1211650
2004-07-31,173476
2004-08-31,455745
2004-09-30,8381198
2004-10-31,5037426
2004-11-30,502280
2004-12-31,63973
2005-01-31,686197
2005-02-28,104006
2005-03-31,2355560
2005-04-30,410608
2005-05-31,521460
2005-06-30,1592925
2005-07-31,259583
2005-08-31,601824
2005-09-30,631965
2005-10-31,39095
2005-11-30,2154212
2005-12-31,6980019
2006-01-31,972726
2006-02-28,32685161
2006-03-31,439303
2006-04-30,1804517
2006-05-31,722545
2006-06-30,1185498
2006-07-31,748507
2006-08-31,1308549
2006-09-30,1505055
2006-10-31,989996
2006-11-30,3859513
2006-12-31,3544431
2007-01-31,7949764
2007-02-28,3456620
2007-03-31,6510248
2007-04-30,2625599
2007-05-31,6584578
2007-06-30,9610116
2007-07-31,1352681
2007-08-31,4272468
2007-09-30,10651696
2007-10-31,12457123
2007-11-30,3030118
2007-12-31,5145124
2008-01-31,230516728
2008-02-29,153881644
2008-03-31,63505156
2008-04-30,150396831
2008-05-31,52043789
2008-06-30,194107274
2008-07-31,227528970
2008-08-31,264804182
2008-09-30,242156308
2008-10-31,173331055
2008-11-30,68432432
2008-12-31,152940802
2009-01-31,101053586
2009-02-28,65258286
2009-03-31,64182132
2009-04-30,46376976
2009-05-31,23058479
2009-06-30,23990535
2009-07-31,17300124
2009-08-31,20461364
2009-09-30,27165043
2009-10-31,26717527
2009-11-30,34466672
2009-12-31,32216082
2010-01-31,806269823
2010-02-28,916840863
2010-03-31,1064605075
2010-04-30,1035994918
2010-05-31,1098462831
2010-06-30,1744164670
2010-07-31,1840007633
2010-08-31,1883803351
2010-09-30,1788357209
2010-10-31,1345783374
2010-11-30,1394580018
2010-12-31,1191377693
2011-01-31,1438963453
2011-02-28,1286285439
2011-03-31,1783591327
2011-04-30,1947559297
2011-05-31,2560304974
2011-06-30,2604968873
2011-07-31,2512489475
2011-08-31,2611392651
2011-09-30,2571329616
2011-10-31,2460286458
2011-11-30,2442043488
2011-12-31,2021987312
2012-01-31,2027254500
2012-02-29,1622662136
2012-03-31,1941092147
2012-04-30,2043982336
2012-05-31,2374994356
2012-06-30,2386638768
2012-07-31,2332005227
2012-08-31,2102400254
2012-09-30,2033978836
2012-10-31,1846016894
2012-11-30,1858115210
2012-12-31,1846775772
2013-01-31,2954419806
2013-02-28,2715529986
2013-03-31,2591226363
2013-04-30,3031062329
2013-05-31,3129394564
2013-06-30,2694251191
2013-07-31,2846743613
2013-08-31,2738531269
2013-09-30,2636890544
2013-10-31,2848476562
2013-11-30,2725204998
2013-12-31,2513750705
2014-01-31,2367865788
2014-02-28,2157363941
2014-03-31,2495250672
2014-04-30,3115662694
2014-05-31,3312677515
2014-06-30,3227660586
2014-07-31,3323425162
2014-08-31,3175616662
2014-09-30,3510420508
2014-10-31,3570348502
2014-11-30,3031745209
2014-12-31,3239994512
2015-01-31,5613408076
2015-02-28,5101618167
2015-03-31,5057570617
2015-04-30,4439422850
2015-05-31,4295356889
2015-06-30,4680892264
2015-07-31,4766434070
2015-08-31,4695679722
2015-09-30,4817308078
2015-10-31,4884076382
2015-11-30,4044019888
2015-12-31,4032070667
2016-01-31,3985696045
2016-02-29,3854741818
2016-03-31,4120583064
2016-04-30,3975720480
2016-05-31,4400163939
2016-06-30,4979861335
2016-07-31,5149613391
2016-08-31,4435553919
2016-09-30,4637819718
2016-10-31,4135956841
2016-11-30,4207822643
2016-12-31,4068019184
2017-01-31,4431144850
2017-02-28,4379464582
2017-03-31,5175564954
2017-04-30,4413905803
2017-05-31,4956283767
2017-06-30,5200534628
2017-07-31,4285338824
2017-08-31,4432767807
2017-09-30,4220074334
2017-10-31,4461333318
2017-11-30,3997124883
2017-12-31,3663330238
2018-01-31,4011200759
2018-02-28,3644406320
2018-03-31,4015696421
2018-04-30,4603587666
2018-05-31,5253806333
2018-06-30,5133528029
2018-07-31,4608383856
2018-08-31,4811704288
2018-09-30,4097474277
2018-10-31,4536029493
2018-11-30,3994339909
2018-12-31,3707166462
2019-01-31,4188832696
2019-02-28,3363438368
2019-03-31,3453390830
2019-04-30,3518274541
2019-05-31,3525001018
2019-06-30,2574115455
2019-07-31,4301002958
2019-08-31,2839513142
2019-09-30,2801628948
2019-10-31,2858106023
2019-11-30,2553826599
2019-12-31,2392506131
2020-01-31,1344471722
2020-02-29,822508936
2020-03-31,887567372
2020-04-30,1052079386
2020-05-31,923777812
2020-06-30,675311151
2020-07-31,989115286
2020-08-31,613351299
2020-09-30,453703705
2020-10-31,577003281
2020-11-30,34821419